A112109 - Number of Workers in household (6) (Households),,,
Current date: 11/15/2022 12:36:46 PM (Eastern Standard Time),,,
RESIDENCE,Number of Workers in Household 6,Output,Households
"TAZ 00000028, Honolulu County, Hawaii",2 workers,Margin of Error,45
"TAZ 00000028, Honolulu County, Hawaii",3 workers,Estimate,0
"TAZ 00000028, Honolulu County, Hawaii",3 workers,Margin of Error,11
"TAZ 00000028, Honolulu County, Hawaii",4-or-more workers,Estimate,15
"TAZ 00000028, Honolulu County, Hawaii",4-or-more workers,Margin of Error,19
"TAZ 00000029, Honolulu County, Hawaii","Total, number of workers in household",Estimate,690
"TAZ 00000029, Honolulu County, Hawaii","Total, number of workers in household",Margin of Error,93
"TAZ 00000029, Honolulu County, Hawaii",0 workers,Estimate,85
"TAZ 00000029, Honolulu County, Hawaii",0 workers,Margin of Error,41
"TAZ 00000029, Honolulu County, Hawaii",1 worker,Estimate,165
"TAZ 00000029, Honolulu County, Hawaii",1 worker,Margin of Error,52
"TAZ 00000029, Honolulu County, Hawaii",2 workers,Estimate,375
"TAZ 00000029, Honolulu County, Hawaii",2 workers,Margin of Error,86
"TAZ 00000029, Honolulu County, Hawaii",3 workers,Estimate,65
"TAZ 00000029, Honolulu County, Hawaii",3 workers,Margin of Error,54
"TAZ 00000029, Honolulu County, Hawaii",4-or-more workers,Estimate,0
"TAZ 00000029, Honolulu County, Hawaii",4-or-more workers,Margin of Error,11
"TAZ 00000030, Honolulu County, Hawaii","Total, number of workers in household",Estimate,255
"TAZ 00000030, Honolulu County, Hawaii","Total, number of workers in household",Margin of Error,48
"TAZ 00000030, Honolulu County, Hawaii",0 workers,Estimate,95
