TAZ,Agriculture,FIRE,Hotel,TransportConstruction,Services,Healthcare,Retail,Wholesale,Education,Manufacturing,Military,Public
711,0,15,0,11,29,0,8,0,0,0,0,0
712,0,2,0,4,8,0,0,0,0,0,0,256
713,0,8,0,12,5,0,0,0,90,0,0,0
714,0,20,0,20,7,766,6,0,15,1,0,0
715,0,4,0,24,4,0,6,6,7,0,0,0
716,0,21,0,13,2,23,0,0,0,0,0,0
717,3,7,0,0,13,2,7,0,2,20,0,9
718,8,5,0,0,29,40,8,4,84,0,0,0
719,4,3,0,6,0,5,0,0,9,0,0,0
720,0,2,2,4,11,2,4,0,3,0,0,0
721,0,27,0,4,33,19,0,0,0,0,0,0
722,0,14,0,9,32,15,0,9,84,4,0,13
723,0,1,0,2,35,0,0,0,0,0,0,0
724,0,11,0,2,12,4,8,0,16,0,0,11
725,0,57,0,5,24,242,2,0,0,9,0,8
726,0,253,0,58,106,174,79,8,12,13,0,0
727,0,2,0,3,11,1,0,0,0,1,0,0
728,0,5,0,0,8,0,0,0,0,0,0,0
729,5,10,0,3,2,30,1,0,3,0,0,0
730,3,13,0,11,70,103,0,0,65,0,0,8
731,0,53,0,18,4,18,3,4,1,0,0,0
732,0,31,0,10,11,103,0,0,0,0,0,0
733,0,1,0,12,7,6,3,0,0,0,0,0
734,0,20,0,18,103,1,20,0,1,0,0,0
735,0,270,0,32,214,7,53,0,0,4,0,0
736,0,35,0,16,382,30,751,0,0,6,0,0
737,0,0,0,5,51,45,0,0,65,0,0,0
738,0,1,0,21,6,0,0,0,21,0,0,0
739,0,4,0,2,12,0,0,0,0,0,0,0
740,0,7,0,7,2,0,0,0,0,0,0,0
741,0,2,0,0,9,0,7,0,0,0,0,9
742,0,19,0,8,6,4,0,0,0,0,0,0
743,0,0,0,1,10,13,3,0,0,0,0,0
744,0,0,0,2,10,0,2,0,0,0,0,0
745,0,0,0,5,0,0,0,0,0,0,0,0
746,0,8,0,2,35,0,10,0,1,5,0,0
747,0,20,0,5,10,0,5,10,12,0,0,0
748,0,15,0,1,4,6,3,0,0,0,0,0
749,0,14,4,0,13,0,0,4,6,0,0,0
750,0,6,1,7,7,4,0,0,0,0,0,0
751,0,5,0,15,4,32,0,0,0,0,0,0
752,0,1,0,26,7,11,0,0,0,0,0,0
753,0,0,0,2,0,0,0,0,0,0,0,0
754,0,5,0,3,124,102,3,0,11,0,0,0
755,0,129,0,24,249,24,77,0,29,4,0,0
756,0,75,0,16,24,2,8,4,0,0,0,0
757,0,36,0,105,371,53,27,7,13,3,0,0
759,0,9,0,4,376,51,0,0,0,3,0,0
760,0,252,0,43,215,82,52,0,214,33,0,18
761,0,1377,0,1,220,757,101,7,45,24,0,0
762,0,57,0,5,59,126,102,0,68,0,0,13
763,0,0,0,0,1,57,0,0,0,0,0,0
764,0,38,0,18,47,7,37,0,49,0,0,0
765,0,4,0,0,0,0,0,0,2,0,0,0
766,0,0,0,0,73,0,1,0,0,0,0,27
767,0,12,0,1,16,4,0,8,0,0,0,0
768,0,30,0,16,107,35,149,8,0,1,0,0
769,5,59,0,109,8,4,5,0,0,0,0,592
770,0,21,0,0,44,0,7,0,8,0,0,309
771,0,36,0,104,6,50,4,0,0,0,0,1684
772,0,80,0,11,0,0,2,30,0,0,0,0
773,0,35,0,39,23,13,3,23,10,7,0,13
774,0,25,0,11,46,7,68,19,0,19,0,0
775,0,9,0,8,5,26,0,0,0,0,0,6
776,0,23,0,6,47,158,6,0,2,0,0,0
777,0,26,0,11,88,82,50,5,6,21,0,0
778,0,26,0,1,8,0,2,0,2,0,0,0
779,0,1187,8,94,139,39,64,16,18,3,0,0
780,34,1382,7,428,585,274,181,75,48,57,0,46
781,0,360,35,94,101,37,30,10,0,34,0,11
782,0,2184,9,128,72,11,28,5,0,103,0,37
783,48,1879,17,794,242,162,165,65,6,33,0,150
784,0,943,0,41,66,31,8,0,32,12,0,374
785,3,578,0,58,149,25,30,5,9,15,0,312
786,0,385,0,15,40,1,233,13,13,0,0,19
787,0,146,0,20,54,15,3,0,0,0,0,90
788,0,7,0,10,21,13,3,0,0,28,0,288
789,0,422,167,591,228,131,4,5,39,30,0,777
790,0,130,5,12,19,19,0,0,0,0,108,494
